Movie,Year,Duration
The Shawshank Redemption,(1994),2h 22min
12 Angry Men,(1957),1h 36min
Inception,(2010),2h 28min
Schindler's List,(1993),3h 15min
The Dark Knight,(2008),2h 32min
The Godfather,(1972),2h 55min
The Godfather: Part II,(1974),3h 22min
The Lord of the Rings: The Return of the King,(2003),3h 21min
Forrest Gump,(1994),2h 22min
The Lord of the Rings: The Fellowship of the Ring,(2001),2h 58min
"The Good, the Bad and the Ugly",(1966),2h 58min
Fight Club,(1999),2h 19min
Pulp Fiction,(1994),2h 34min
Star Wars: Episode V - The Empire Strikes Back,(1980),2h 4min
The Lord of the Rings: The Two Towers,(2002),2h 59min
Swades,(2004),3h 9min
Saving Private Ryan,(1998),2h 49min
Tangerines,(2013),1h 27min
The Battle of Algiers,(1966),2h 1min
Three Colors: Red,(1994),1h 39min
The Help,(2011),2h 26min
A Silent Voice: The Movie,(2016),2h 10min
Drishyam,(2015),2h 43min
The Invisible Guest,(2016),1h 46min
"Paris, Texas",(1984),2h 25min
It Happened One Night,(1934),1h 45min
Portrait of a Lady on Fire,(2019),2h 2min
In the Mood for Love,(2000),1h 38min
Rang De Basanti,(2006),2h 47min
Rififi,(1955),1h 58min
Rebecca,(1940),2h 10min
Before Sunset,(2004),1h 20min
Nausicaä of the Valley of the Wind,(1984),1h 57min
Andrei Rublev,(1966),3h 25min
"Monsters, Inc.",(2001),1h 32min
Rocky,(1976),2h
Gangs of Wasseypur,(2012),5h 21min
Amores Perros,(2000),2h 34min
Time of the Gypsies,(1988),2h 22min
Hotel Rwanda,(2004),2h 1min
The Passion of Joan of Arc,(1928),1h 54min
Spotlight,(2015),2h 9min
The 400 Blows,(1959),1h 39min
The Wages of Fear,(1953),2h 11min
La Haine,(1995),1h 38min
Rush,(2013),2h 3min
Into the Wild,(2007),2h 28min
Logan,(2017),2h 17min
Monty Python's Life of Brian,(1979),1h 34min
The Handmaiden,(2016),2h 25min
Hachi: A Dog's Tale,(2009),1h 33min
Platoon,(1986),2h
Stand by Me,(1986),1h 29min
Network,(1976),2h 1min
Cool Hand Luke,(1967),2h 7min
Ben-Hur,(1959),3h 32min
Harry Potter and the Deathly Hallows: Part 2,(2011),2h 10min
Million Dollar Baby,(2004),2h 12min
Mr. Smith Goes to Washington,(1939),2h 9min
The Bandit,(1996),2h 8min
Dead Poets Society,(1989),2h 8min
Barry Lyndon,(1975),3h 5min
Soul,(2020),1h 40min
Mad Max: Fury Road,(2015),2h
12 Years a Slave,(2013),2h 14min
Sherlock Jr.,(1924),45min
To Be or Not to Be,(1942),1h 39min
Autumn Sonata,(1978),1h 39min
How to Train Your Dragon,(2010),1h 38min
The General,(1926),1h 7min
Ford v Ferrari,(2019),2h 32min
The Big Lebowski,(1998),1h 57min
Andhadhun,(2018),2h 19min
Prisoners,(2013),2h 33min
Persona,(1966),1h 23min
Hacksaw Ridge,(2016),2h 19min
Catch Me If You Can,(2002),2h 21min
Before Sunrise,(1995),1h 41min
Gone Girl,(2014),2h 29min
Mary and Max,(2009),1h 32min
Anand,(1971),2h 2min
In the Name of the Father,(1993),2h 13min
The Grand Budapest Hotel,(2014),1h 39min
The Deer Hunter,(1978),3h 3min
On the Waterfront,(1954),1h 48min
Tokyo Story,(1953),2h 16min
The Third Man,(1949),1h 33min
Wild Tales,(2014),2h 2min
Gran Torino,(2008),1h 56min
Room,(2015),1h 58min
The Bridge on the River Kwai,(1957),2h 41min
Fargo,(1996),1h 38min
Memories of Murder,(2003),2h 12min
Kill Bill: Vol. 1,(2003),1h 51min
Blade Runner,(1982),1h 57min
Wild Strawberries,(1957),1h 31min
Stalker,(1979),2h 42min
Finding Nemo,(2003),1h 40min
Gone with the Wind,(1939),3h 58min
The Truman Show,(1998),1h 43min
Jurassic Park,(1993),2h 7min
Trainspotting,(1996),1h 33min
The Thing,(1982),1h 49min
The Sixth Sense,(1999),1h 47min
The Seventh Seal,(1957),1h 36min
The Elephant Man,(1980),2h 4min
Klaus,(2019),1h 36min
Warrior,(2011),2h 20min
My Father and My Son,(2005),1h 52min
Inside Out,(2015),1h 35min
V for Vendetta,(2005),2h 12min
No Country for Old Men,(2007),2h 2min
Chinatown,(1974),2h 10min
Shutter Island,(2010),2h 18min
"Three Billboards Outside Ebbing, Missouri",(2017),1h 55min
The Gold Rush,(1925),1h 35min
Dial M for Murder,(1954),1h 45min
The Treasure of the Sierra Madre,(1948),2h 6min
Raging Bull,(1980),2h 9min
My Neighbor Totoro,(1988),1h 26min
Judgment at Nuremberg,(1961),2h 59min
The Secret in Their Eyes,(2009),2h 9min
Pan's Labyrinth,(2006),1h 58min
"Lock, Stock and Two Smoking Barrels",(1998),1h 47min
The Great Escape,(1963),2h 52min
There Will Be Blood,(2007),2h 38min
Casino,(1995),2h 58min
All About Eve,(1950),2h 18min
A Beautiful Mind,(2001),2h 15min
The Wolf of Wall Street,(2013),3h
Ran,(1985),2h 42min
Unforgiven,(1992),2h 10min
Howl's Moving Castle,(2004),1h 59min
Some Like It Hot,(1959),2h 1min
Children of Heaven,(1997),1h 29min
Downfall,(2004),2h 36min
Rashomon,(1950),1h 28min
Yojimbo,(1961),1h 50min
Batman Begins,(2005),2h 20min
Die Hard,(1988),2h 12min
Monty Python and the Holy Grail,(1975),1h 31min
Green Book,(2018),2h 10min
L.A. Confidential,(1997),2h 18min
Heat,(1995),2h 50min
Indiana Jones and the Last Crusade,(1989),2h 7min
For a Few Dollars More,(1965),2h 12min
Up,(2009),1h 36min
Double Indemnity,(1944),1h 47min
To Kill a Mockingbird,(1962),2h 9min
Metropolis,(1927),2h 33min
The Apartment,(1960),2h 5min
The Sting,(1973),2h 9min
Amélie,(2001),2h 2min
A Separation,(2011),2h 3min
Incendies,(2010),2h 11min
Lawrence of Arabia,(1962),3h 48min
Taxi Driver,(1976),1h 54min
Ikiru,(1952),2h 23min
Come and See,(1985),2h 22min
Toy Story 3,(2010),1h 43min
1917,(2019),1h 59min
A Clockwork Orange,(1971),2h 16min
North by Northwest,(1959),2h 16min
Singin' in the Rain,(1952),1h 43min
The Kid,(1921),1h 8min
Scarface,(1983),2h 50min
Bicycle Thieves,(1948),1h 29min
Snatch,(2000),1h 42min
Full Metal Jacket,(1987),1h 56min
Dangal,(2016),2h 41min
Citizen Kane,(1941),1h 59min
Vertigo,(1958),2h 8min
Requiem for a Dream,(2000),1h 42min
Eternal Sunshine of the Spotless Mind,(2004),1h 48min
M,(1931),1h 39min
Reservoir Dogs,(1992),1h 39min
The Hunt,(2012),1h 55min
2001: A Space Odyssey,(1968),2h 29min
Like Stars on Earth,(2007),2h 45min
Good Will Hunting,(1997),2h 6min
3 Idiots,(2009),2h 50min
Amadeus,(1984),2h 40min
Inglourious Basterds,(2009),2h 33min
Star Wars: Episode VI - Return of the Jedi,(1983),2h 11min
High and Low,(1963),2h 23min
Das Boot,(1981),2h 29min
Capernaum,(2018),2h 6min
Braveheart,(1995),2h 58min
Aliens,(1986),2h 17min
Toy Story,(1995),1h 21min
American Beauty,(1999),2h 2min
Your Name.,(2016),1h 46min
Coco,(2017),1h 45min
Once Upon a Time in America,(1984),3h 49min
Avengers: Endgame,(2019),3h 1min
The Dark Knight Rises,(2012),2h 44min
Princess Mononoke,(1997),2h 14min
Sunset Blvd.,(1950),1h 50min
Witness for the Prosecution,(1957),1h 56min
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),1h 35min
Oldboy,(2003),2h
The Shining,(1980),2h 26min
WALL·E,(2008),1h 38min
Avengers: Infinity War,(2018),2h 29min
Paths of Glory,(1957),1h 28min
The Lives of Others,(2006),2h 17min
Joker,(2019),2h 2min
Indiana Jones and the Raiders of the Lost Ark,(1981),1h 55min
Hamilton,(2020),2h 40min
The Great Dictator,(1940),2h 5min
Memento,(2000),1h 53min
Apocalypse Now,(1979),2h 27min
Spider-Man: Into the Spider-Verse,(2018),1h 57min
Django Unchained,(2012),2h 45min
Alien,(1979),1h 57min
Cinema Paradiso,(1988),2h 35min
Rear Window,(1954),1h 52min
Once Upon a Time in the West,(1968),2h 45min
The Prestige,(2006),2h 10min
Casablanca,(1942),1h 42min
Grave of the Fireflies,(1988),1h 29min
Whiplash,(2014),1h 46min
The Intouchables,(2011),1h 52min
City Lights,(1931),1h 27min
The Departed,(2006),2h 31min
Modern Times,(1936),1h 27min
Psycho,(1960),1h 49min
Back to the Future,(1985),1h 56min
The Pianist,(2002),2h 30min
The Usual Suspects,(1995),1h 46min
Hara-Kiri,(1962),2h 13min
American History X,(1998),1h 59min
Terminator 2: Judgment Day,(1991),2h 17min
The Lion King,(1994),1h 28min
Gladiator,(2000),2h 35min
Léon: The Professional,(1994),1h 50min
Parasite,(2019),2h 12min
Interstellar,(2014),2h 49min
It's a Wonderful Life,(1946),2h 10min
Spirited Away,(2001),2h 5min
The Green Mile,(1999),3h 9min
City of God,(2002),2h 10min
Star Wars: Episode IV - A New Hope,(1977),2h 1min
Life Is Beautiful,(1997),1h 56min
The Silence of the Lambs,(1991),1h 58min
One Flew Over the Cuckoo's Nest,(1975),2h 13min
The Matrix,(1999),2h 16min
Goodfellas,(1990),2h 26min
Seven Samurai,(1954),3h 27min
Se7en,(1995),2h 7min
